dataSize, nanoTime
100, 262842200
150, 21315500
200, 14350500
250, 21579900
300, 46714500
350, 50291200
400, 59998900
450, 62662400
500, 68101000
550, 83875700
600, 47054400
650, 56227900
700, 69013000
750, 115927000
800, 115475600
850, 106533200
900, 101837000
950, 114663000
1000, 297319600
1050, 124287600
1100, 101253200
1150, 116692000
1200, 105331100
1250, 136004100
1300, 156961800
1350, 148694300
1400, 112055600
1450, 146233300
1500, 133814400
1550, 112875900
1600, 203494000
1650, 151399500
1700, 145779000
1750, 185102600
1800, 149452100
1850, 111244000
1900, 147458900
1950, 158406800
2000, 206358000
2050, 172691900
2100, 187094500
2150, 185267200
2200, 151955300
2250, 198510500
2300, 174468300
2350, 195547200
2400, 200013200
2450, 209097400
2500, 268087000
